num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
2,"Avenida Campinas, 1152  (Rapidão)",-22.577078622765704,-47.39148226761585,3.760375343664644
3,"Avenida Campinas, 1760",-22.5886209,-47.3832494,5.14644541908274
4,"Rua Pedro Elías, 546  (Rapidão)",-22.579961253882317,-47.381879508771206,4.788932386989074
5,"Via Luís Varga, 6856-6918  (Rapidão)",-22.578884433223408,-47.377038222653034,5.201043118157779
6,"Via Luís Varga, 320  (Rapidão)",-22.584254068209464,-47.37502596708704,5.629560417482131
7,Ponto Final Campo Novo,-22.591752935368447,-47.37264572096272,6.2473366039573435
