num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Museu Major José Levy Sobrinho B/C (Rapidão),-22.565482060847764,-47.40206587155135,2.309149903218527
2,Catedral N.Sr. Das Dores (Rapidão),-22.56157386008471,-47.402000260308085,2.281537187646309
3,Escola Brasil - Praça José Bonifácio C/B,-22.561011950736074,-47.40396744752847,2.08119559459538
4,Avenida Ana Carolina De Barros Levi 124,-22.559243854527736,-47.407287711143034,1.7618895124877318
5,"Avenida Ana Carolina De Barros Levi, 260-450 (Rapidão)",-22.55904821509278,-47.40834107095815,1.6591125653233474
6,"Avenida Ana Carolina De Barros Levi, 458-494",-22.558250582857216,-47.41001558654577,1.5114327913084555
7,"Rua Capitão Manoel Ferraz Camargo, 122 (Rapidão)",-22.556137010690858,-47.413831457709364,1.240151013312005
8,"Rua Capitão Manoel Ferraz Camargo, 540",-22.5571381,-47.415283,1.0552856049500636
9,"Norte Avenida Doutor Fabrício Vampré, 726",-22.558518975285452,-47.42062986042478,0.5217079267723745
10,"Norte Avenida Doutor Fabrício Vampré, 930",-22.55900715038987,-47.42268512660228,0.35369570582700877
11,"Norte Avenida Doutor Fabrício Vampré, 1212",-22.559541125575418,-47.42523536540395,0.2811258620097627
12,"Norte Avenida Doutor Fabrício Vampré, 1518-1560",-22.560779043320487,-47.427648567200386,0.3770407687762222
13,"Rua Osvaldo Bertoline, 152",-22.560237292325944,-47.429629222555526,0.5892732101600135
14,"Rua Osvaldo Bertoline, 294-346",-22.55950706442501,-47.43082261101142,0.7320450813531533
15,"Rua Osvaldo Bertoline, 512",-22.55845662648252,-47.43266718058858,0.9517529093164461
16,"Rua Carlos Guilherme Schnoor, 180-380",-22.557462566803064,-47.43537359193769,1.2509637506573068
17,"Rua Doutor Francisco Machado De Campos, 220",-22.552797,-47.4390279,1.828768178157396
18,"Rua Bernardina Franco Machado Mugnani, 171-283",-22.5543092,-47.4419515,2.011026936632955
19,"Rua Adalgisa Xixirri Guimarães Sá, 214-246",-22.5540689,-47.4436319,2.1797382986627976
20,"Rua Antônio Castellar, 2-170",-22.5552127,-47.4475051,2.510122515551615
21,"Rua Antônio Castellar, 194",-22.5552127,-47.4475051,2.510122515551615
22,"Rua Doutor Mario Camargo Aranha, 728",-22.5574658,-47.447501,2.447906037431264
23,"Rua Capitão Joaquim Manoel Pereira, 193-255",-22.5574611,-47.4453126,2.2279330614051465
24,"Avenida Doutor João Amaral Gama, 575-633",-22.5579647,-47.4408711,1.770624088077481
25,"Avenida Jacobe Cover, 1015",-22.559106737960615,-47.44297572634121,1.9573843856946764
26,"Avenida Jacobe Cover, 835",-22.560767824915338,-47.44316460460508,1.956403435972646
27,"Avenida Jacobe Cover, 179-287",-22.563935668892587,-47.44337106570962,1.986755873282867
28,"Avenida Carlos Zaccaria, 389-401",-22.5648874,-47.4436683,2.0316978244267063
29,"Avenida Frei João Das Mercês, 50",-22.5657435,-47.4439323,2.075912729046526
30,"Avenida Frei João Das Mercês, 230",-22.5657435,-47.4439323,2.075912729046526
31,"Rua Frederico Fischer Júnior, 142",-22.5656573,-47.4452042,2.2022566077036596
32,"Avenida Frei João Das Mercês, 564-612",-22.5666127,-47.4487587,2.5814901152810963
33,"Avenida Frei João Das Mercês, 764-800",-22.5657435,-47.4439323,2.075912729046526
34,"Avenida Jaime Cheque, 326-370",-22.5597116,-47.4532174,2.9961168543361714
35,"Avenida Jaime Cheque, 305-343",-22.5597116,-47.4532174,2.9961168543361714
36,"Avenida Jaime Cheque, 190",-22.5604305,-47.4531345,2.9822582466501197
37,"Avenida Jaime Cheque, 1-55",-22.5604305,-47.4531345,2.9822582466501197
38,"Avenida Jaime Cheque, 962-1000",-22.5640368,-47.4520294,2.874129459669936
