num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
2,Museu Major José Levy Sobrinho,-22.565439554677592,-47.40223138902325,2.291570626724112
3,Caixa Federal,-22.5706135,-47.4099657,1.7527243896017448
4,"Avenida Tenente Aviador Eli Horta Barbosa, 1-63",-22.57351595307891,-47.413904029897566,1.6662867612673726
5,"Avenida Comendador Agostinho Prada, 3045-3201 (Rapidão)",-22.583273277108276,-47.43077591523882,2.4638873235866146
6,"Rua Octávio Ribeiro, 82-130 (Rapidão)",-22.58673716066072,-47.43462781934347,2.954544356102977
7,"Rua João Maesi, 237 (Rapidão)",-22.592120271825166,-47.43572126901734,3.5525015622011336
8,"Rua Dom Tarcísio Ariovaldo Do Amaral, 1027-1073 (Rapidão)",-22.59212079980574,-47.43096693746713,3.420405271926935
9,"Rua José Alberto Campanini, 1720 (Rapidão)",-22.59804806971839,-47.42055695989183,4.022130340032022
10,"Rua Divanir Gazetta, 210 (Rapidão)",-22.59016624081033,-47.43190043444842,3.2310570649419006
11,"Rua José Pintarelli, 25 (Rapidão)",-22.604216524232527,-47.42409981778979,4.687921416352255
12,"Rua José Pintarelli, 315 (Rapidão)",-22.601627180804996,-47.42312748184898,4.4025067428801155
13,"Rua José Pintarelli, 153 (Rapidão)",-22.603080925405674,-47.42368982577805,4.562438871972628
14,"Rua Dorival Faver, 321-359 (Rapidão)",-22.604354819990515,-47.4237320658747,4.703455054692821
15,"Avenida Doutor Lauro Corrêa Da Silva, 928-994 (Rapidão)",-22.60802511506337,-47.422175463730156,5.113831309355043
16,Parada E Ponto Final Linha S.Lourenço  (Rapidão),-22.61283034095905,-47.42371605899512,5.641998205216756
17,Residencial Parque Lua Nova,-22.613033269028207,-47.42824393297156,5.679656811434887
18,Residencial Rubi Iii-A,-22.614516869962213,-47.42916943669603,5.851090801375662
19,Residencial Rubi Iv-B,-22.61276378432211,-47.43144134247762,5.683676699191622
20,Residencial Rubi V-C,-22.612548648936322,-47.43362629933531,5.694055407793407
21,Residencial Varandas II,-22.617356066113373,-47.426332336676985,6.146951361118156
22,"Via Antonio Tedeschi, 986-1112 (Rapidão)",-22.625434574378954,-47.428172845215144,7.049533907149033
23,Ponto Final,-22.6277970127138,-47.42901080552928,7.316063124644081
