num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Ponto Final Odécio Degan,-22.61348469322839,-47.41544428007784,5.784448333292225
2,"Avenida Antônio Conselheiro, 538",-22.6109883,-47.4117914,5.585063569680814
3,"Avenida Antônio Conselheiro, 746",-22.6109883,-47.4117914,5.585063569680814
4,"Rua Chico Mendes, 1586-1638",-22.6111969,-47.4099849,5.6526582859119
5,"Rua 10 De Dezembro, 127",-22.6105748,-47.4072061,5.667523330282297
6,"Rua Maria Rita Da Cruz, 1802-1852",-22.6112712,-47.4061373,5.775307302813538
7,"Rua João Amazonas, 387-527",-22.6117986,-47.4062352,5.82744792920856
8,"Rua João Batista Tobias, 4561-4611",-22.6104008,-47.4085855,5.606988676456477
9,"Rua Três, 4085-4215 (Rapidão)",-22.6073941730483,-47.40848502307874,5.2919532771074795
10,"Rua Professor Doutor Antônio Prince Rodrigues, 2241-2279",-22.6052838,-47.4097497,5.030001316594029
11,Ponto Final Linha Sta.Eulalia,-22.602999139430082,-47.40612199372663,4.91726444122987
12,"Rua Ana Tumenas Tolle, 190",-22.6058257,-47.4053155,5.238571223340131
13,"Rua Antonio Fortes, 291-343",-22.600750577990787,-47.40884042298899,4.584094313777665
14,"Rua Paulo Sérgio Catapani, 65-131",-22.5976045,-47.4091526,4.2468892299979935
15,"Avenida Luís Cavinato, 384",-22.5429901,-47.3995622,3.2847063501401648
16,"Avenida Luís Cavinato, 71-107",-22.5429901,-47.3995622,3.2847063501401648
17,"Avenida Doutor Sebastião C. Calazans, 200",-22.6014762,-47.4065975,4.742678310112554
18,"Avenida Doutor Sebastião C. Calazans, 422-466",-22.6014762,-47.4065975,4.742678310112554
19,"Rua Ana Tumenas Tolle, 3236-3290 (Rapidão)",-22.60519584345984,-47.406847268555794,5.116867630940481
20,"Rua Ana Tumenas Tolle, 3446-3494 (Rapidão)",-22.606186745981933,-47.40442238624962,5.310189317455969
21,"Rua Ana Tumenas Tolle, 3600-3648",-22.6023456,-47.4090392,4.743572870274068
22,"Avenida Fausto Esteves Dos Santos, 1667-1777",-22.5976541,-47.4008631,4.630460145377626
23,"Avenida Fausto Esteves Dos Santos, 1425-1491 (Rapidão)",-22.60149797048027,-47.40159392879489,4.96383872880364
24,"Avenida Fausto Esteves Dos Santos, 1235",-22.5976541,-47.4008631,4.630460145377626
25,"Avenida Fausto Esteves Dos Santos, 1005",-22.5976541,-47.4008631,4.630460145377626
26,"Avenida Fausto Esteves Dos Santos, 801-843",-22.5976541,-47.4008631,4.630460145377626
27,"Rua Da Imprensa, 201-335",-22.598201,-47.39713663505479,4.889715752145099
28,"Rua Flávio Roque Da Silveira, 85-109",-22.5877157,-47.3994144,3.830202319877212
29,"Rua João Machado Gomes Júnior, 1151-A",-22.5737642,-47.4005312,2.7653069598388664
30,"Rua João Machado Gomes Júnior, 801-869",-22.5737642,-47.4005312,2.7653069598388664
31,"Rua João Machado Gomes Júnior, 471-517",-22.5737642,-47.4005312,2.7653069598388664
32,"Rua João Machado Gomes Júnior, 247",-22.5737642,-47.4005312,2.7653069598388664
33,"Rua Ceará, 504-574",-22.574346,-47.4033193,2.5510639997574045
34,"Rua Ceará, 239",-22.574346,-47.4033193,2.5510639997574045
