num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Parada E Ponto Final Linha S.Lourenço  (Rapidão),-22.61283034095905,-47.42371605899512,5.641998205216756
2,"Rua Sete, 369",-22.5886284,-47.4370192,3.2426745942247104
3,"Rua Dom Francisco De Campos Barreto, 3015-3103",-22.6130191,-47.42166,5.668628613559887
4,"Rua Dom Francisco De Campos Barreto, 2849-2905",-22.6130191,-47.42166,5.668628613559887
5,"Rua Antônio Cerchiari Dadona, 323-389",-22.6083353,-47.4200613,5.161434812153898
6,"Rua Antônio Cerchiari Dadona, 163-215",-22.6083353,-47.4200613,5.161434812153898
7,"Rua Vereador Osvaldo Ferreira Dos Santos, 316",-22.606805191467707,-47.42108750117579,4.984739017596785
8,"Rua Dorival Faver, 322-360 (Rapidão)",-22.60435134762837,-47.42373341151006,4.703069193286109
9,"Rua José Pintarelli, 142-186 (Rapidão)",-22.603066507243916,-47.4236744956645,4.560860048389029
10,"Rua José Pintarelli, 282-330 (Rapidão)",-22.601918995141858,-47.42321555611858,4.434600131957721
11,"Rua José Pintarelli, 530 (Rapidão)",-22.599797720595593,-47.42255814908055,4.201897052069115
12,"Rua Divanir Gazetta, 181-249 (Rapidão)",-22.590167851202928,-47.43188290085696,3.2307873821384887
13,"Rua José Alberto Campanini, 1695-1749 (Rapidão)",-22.597768133991398,-47.420529541822894,3.9915293671061503
14,"Rua José Alberto Campanini, 1401",-22.5941829,-47.4230231,3.578786931896305
15,"Rua Dom Tarcísio Ariovaldo Do Amaral, 48-96",-22.5955059,-47.4224968,3.727338221239133
16,"Rua Dom Tarcísio Ariovaldo Do Amaral, 300-476",-22.595402,-47.4225912,3.7154051823970167
17,"Rua Dom Tarcísio Ariovaldo Do Amaral, 1070 (Rapidão)",-22.592116276481537,-47.43098013231621,3.42019206961754
18,"Rua João Maesi, 140",-22.5920991,-47.4351184,3.5300502285897415
19,"Rua Dom Tarcísio Ariovaldo Do Amaral, 1422-1460",-22.5955059,-47.4224968,3.727338221239133
20,"Rua Octávio Ribeiro, 419-475",-22.5859055,-47.4342991,2.8564613304645574
21,"Rua Octávio Ribeiro, 297-351",-22.5859055,-47.4342991,2.8564613304645574
22,"Rua Octávio Ribeiro, 89 (Rapidão)",-22.58648892090031,-47.43450708225559,2.9244222117392864
23,"Avenida Nelson Aparecido Do Nascimento, 281",-22.5900616,-47.4303408,3.184075530358784
24,"Avenida Nelson Aparecido Do Nascimento, 1",-22.5900616,-47.4303408,3.184075530358784
25,"Avenida Nelson Aparecido Nascimento, 1515-1605",-22.5900616,-47.4303408,3.184075530358784
26,"Avenida Um A, 1387",-22.59109158177076,-47.42832792910649,3.262475256373599
27,"Avenida Nelson Aparecido Nascimento, 1183",-22.5900616,-47.4303408,3.184075530358784
28,"Avenida Um A, 905",-22.590123317999183,-47.43037858037432,3.191547367932557
29,"Avenida Armando Pachêco Barros, 260",-22.5910893,-47.4220697,3.2415044952122525
30,"Rua Guido Orsi, 1053",-22.585619,-47.419687,2.668773763199886
31,"Rua Guido Orsi, 757",-22.585619,-47.419687,2.668773763199886
32,"Rua Guido Orsi, 321-361",-22.585619,-47.419687,2.668773763199886
33,"Rua Guido Orsi, 205",-22.585619,-47.419687,2.668773763199886
34,"Rua Guido Orsi, 43",-22.585619,-47.419687,2.668773763199886
35,"Avenida Eduardo Peixoto, 713",-22.5834082,-47.4106904,2.757997315415881
36,"Avenida Eduardo Peixoto, 359",-22.5834082,-47.4106904,2.757997315415881
37,"Avenida Eduardo Peixoto, 29",-22.5834082,-47.4106904,2.757997315415881
38,"Avenida Doutor Lauro Corrêa Da Silva, 1999-2371",-22.5773004,-47.4082025,2.369628947567649
39,"Rua Baía, 278-364",-22.579095154169337,-47.40571906043639,2.6903303383922754
40,"Rua Baía, 538",-22.5793954797264,-47.403170644416065,2.9033928710530676
41,"Rua Baía, 688",-22.579555003875733,-47.40191103656098,3.01249366514204
42,"Rua João Machado Gomes Júnior, 471-517",-22.5737642,-47.4005312,2.7653069598388664
43,"Rua João Machado Gomes Júnior, 247",-22.5737642,-47.4005312,2.7653069598388664
44,"Rua Ceará, 504-574",-22.574346,-47.4033193,2.5510639997574045
45,"Rua Ceará, 239",-22.574346,-47.4033193,2.5510639997574045
46,Funerária Bom Pastor,-22.552415995525056,-47.37949040734621,4.714623023065289
47,"Rua Santa Eliza, 122",-22.5736129971867,-47.40848708917393,2.071795151226501
48,Rua Carlos Gomes 1321-1385,-22.5670351,-47.4044543,2.1075279136171754
49,"Rua Carlos Gomes, 989",-22.5670351,-47.4044543,2.1075279136171754
50,Museu Major José Levy Sobrinho B/C (Rapidão),-22.565439554677592,-47.40223138902325,2.291570626724112
51,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
