index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,total,preco_m2,dist_unicamp
62,B,6cb940ae9001fba36d6b120bca0fa2c1,JD. Morro Azul,700.0,0.0,,1,1,0.0,"Quitinete com dormitório e cozinha conjugados, banheiro com box de blindex e área de serviço de uso comum. Está incluso no valor do aluguel o consumo de agua e energia.   ***O valor de R$ 700,00 será se a locação for para uma pessoa. Caso seja para duas pessoas, o valor será de R$ 800,00.***",700.0,,0.7507639025607419
63,B,07f6384f6c2c7d702650281e7a51f958,JD. Morro Azul,700.0,0.0,,1,1,0.0,"Kitnet com área de serviço, 1 dormitório, 1 cozinha e 1 banheiro.",700.0,,0.7507639025607419
64,B,39a6db2728600ac4a1ef144ab6635476,JD. Morro Azul,500.0,0.0,,1,1,0.0,"Kitnet com 1 dormitório, 1 cozinha e 1 banheiro, nos fundos do imóvel.",500.0,,0.7507639025607419
