index,imob,codigo,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao,total,preco_m2,dist_unicamp
71,A,c5a84c8eb6b4f9c7389fd32afa1e5357,JD. Cidade Universitária I,780.0,0.0,20.0,1,1,0.0,"KITNET COM CAMA, ARMÁRIOS, ESCRIVANINHA,COZINHA COM GELADEIRA, FOGÃO ELÉTRICO, MICROONDAS,ÁREA DE SERVIÇO COMUNITÁRIA.INCLUSO NO CONDOMINIO AGUA E ENERGIA.",780.0,39.0,1.3854276880650611
72,A,9b5801ddc55b2411554d6fb109229460,JD. Cidade Universitária I,800.0,0.0,20.0,1,1,0.0,"COZINHA COM GELADEIRA COM DISPENSER NA PORTA, MICROONDAS, FOGÃO COOKTOP, SALA COM MESA PARA ESTUDO, AR CONDICIONADO, QUARTO COM CAMA BOX, GUARDA ROUPA EMBUTIDO.GARAGEM ROTATIVA.VALOR JÁ INCLUSO O CONDOMÍNIO: ÁGUA E LIMPEZA EXTERNA.*ENERGIA A PARTE.*OJETOS DECORATIVOS NÃO FAZEM PARTE DA LOCAÇÃO.",800.0,40.0,1.3854276880650611
74,A,350e21033122ce335fd0fd5f0031179d,JD. Cidade Universitária I,800.0,0.0,20.0,1,1,1.0,"COZINHA COM GELADEIRA COM DISPENSER NA PORTA, MICROONDAS, FOGÃO COOKTOP, SALA COM MESA PARA ESTUDO, AR CONDICIONADO, QUARTO COM CAMABOX, GUARDA ROUPA EMBUTIDO..GARAGEM ROTATIVA.INCLUSO NO CONDOMÍNIO: ÁGUA E LIMPEZA EXTERNA.ENERGIA A PARTE.",800.0,40.0,1.3854276880650611
73,A,f773fe72ae9c3ae06183ea91d181347a,JD. Cidade Universitária I,800.0,80.0,20.0,1,1,0.0,"COZINHA COM GELADEIRA COM DISPENSER NA PORTA, MICROONDAS, FOGÃO COOKTOP, SALA COM MESA PARA ESTUDO, AR CONDICIONADO, QUARTO COM CAMABOX, GUARDA ROUPA EMBUTIDO.ESPAÇO DE LAZER.GARAGEM ROTATIVA.INCLUSO NO CONDOMÍNIO: ÁGUA, LIMPEZA EXTERNA E VIGILANTE NOTURNO.ENERGIA A PARTE.",880.0,44.0,1.3854276880650611
