num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
2,"Avenida Assis Brasil, 468",-22.5682051,-47.3983597,2.7463752986191383
3,"Avenida Assis Brasil, 610  (Rapidão)",-22.56725844480457,-47.39029430270092,3.535638452592515
4,"Rua Vereador Samuel Berto, 1090  (Rapidão)",-22.56937291909802,-47.38751803992358,3.860816811838293
5,"Rua João Batistela, 351  (Rapidão)",-22.5717988807167,-47.38553432644918,4.123547177394785
6,"Rua Oto Frederico Bürger, 366  (Rapidão)",-22.573104862549865,-47.380930992572154,4.618400991086331
7,"Rua Placidina Ferreira Braga, 164  (Rapidão)",-22.571652647094528,-47.377719984561644,4.899283426393138
8,"Rua Doutor Ademar Pereira De Barros, 697-765  (Rapidão)",-22.571466131873585,-47.37424108837582,5.244624581456204
9,"Rua Mario Macedo Soares, 8  (Rapidão)",-22.572658969966238,-47.37176134802678,5.521635225311658
10,"Rua Mario Macedo Soares, 486-558  (Rapidão)",-22.571709638878215,-47.36981489691989,5.696258785613611
11,"Rua Encarnação Carrasco Arias, 511-647  (Rapidão)",-22.571686877228824,-47.368815770909606,5.796684414620537
12,"Rua Joaquim Carlos Wissel, 439  (Rapidão)",-22.570801340634148,-47.36784859650096,5.877171993443385
13,"Rua Joaquim Carlos Wissel, 91-147  (Rapidão)",-22.56768756655588,-47.36770353571328,5.8440431623243585
14,Terminal Parque Hipolito,-22.566720476594224,-47.37013678604166,5.584104086299387
