num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Ponto Final  B.Ometto,-22.55236050392411,-47.45026156851256,2.8823406057878556
2,"Rua Chile, 142",-22.5581299,-47.455177,3.21499560452053
3,"Avenida Canadá, 2590-2638",-22.5494925,-47.4475962,2.7718351448990894
4,"Avenida Canadá, 1114-1304",-22.5494925,-47.4475962,2.7718351448990894
5,"Avenida Canadá, 1306-1558",-22.5494925,-47.4475962,2.7718351448990894
6,"Avenida Canadá, 1306-1558",-22.5494925,-47.4475962,2.7718351448990894
7,"Rua Carlos Henrique Teixeira Martins, 343-429",-22.5540429,-47.4487978,2.676664289898645
8,"Avenida Virgílio Bassinelo, 902",-22.5541433,-47.4486891,2.6624903457085662
9,"Rua Doutor Mario Camargo Aranha, 728",-22.5574658,-47.447501,2.447906037431264
10,"Rua Antônio Castellar, 205",-22.5552127,-47.4475051,2.510122515551615
11,"Rua Capitão Joaquim Manoel Pereira, 333-373",-22.5574611,-47.4453126,2.2279330614051465
12,"Avenida Doutor João Amaral Gama, 575-633",-22.5579647,-47.4408711,1.770624088077481
13,"Avenida Jacobe Cover, 1015",-22.55910275178576,-47.442986802891284,1.9585788644659479
14,"Avenida Jacobe Cover, 835",-22.56075414713605,-47.443131165571174,1.9530675531064727
15,"Avenida Luís Vaz De Camões, 5-7",-22.5630237,-47.4412609,1.7612224810288826
16,"Avenida Luís Vaz De Camões, 35-37",-22.5630237,-47.4412609,1.7612224810288826
17,"Rua Professora Noêmia De Castro Oliveira, 357",-22.5631392,-47.4350615,1.1276896301745207
18,"Rua Professora Noêmia De Castro Oliveira, 189",-22.5631392,-47.4350615,1.1276896301745207
19,"Norte Avenida Doutor Fabrício Vampré, 1921-1991",-22.56098110163366,-47.431093011132354,0.7179110972560088
20,"Norte Avenida Doutor Fabrício Vampré, 1609",-22.561477105230733,-47.428159083922054,0.4116332567030133
21,"Norte Avenida Doutor Fabrício Vampré, 975-991",-22.559182816068365,-47.42293757032946,0.3252288904035079
22,"Norte Avenida Doutor Fabrício Vampré, 685",-22.55859193513618,-47.42015416136711,0.5516846598680152
23,"Norte Avenida Doutor Fabrício Vampré, 131-181",-22.560786383208978,-47.41556288999053,0.8946424006785694
24,"Avenida Maria Buzolin, 785",-22.5597663,-47.4138118,1.0919247616678345
25,"Rua Capitão Francisco Sérgio De Toledo, 145-207",-22.558166810684092,-47.412796739235525,1.2410923724029954
26,Nosso Clube,-22.558720436605455,-47.409808033403905,1.5191859380843056
27,Medical B/C,-22.5589578,-47.40714300236351,1.7820556955928961
28,"Rua Barão De Campinas, 1027",-22.5650934,-47.3985764,2.657278214505078
29,Escola Brasil - Praça José Bonifácio B/C,-22.561011950736074,-47.40396744752847,2.08119559459538
30,"Rua Barão De Campinas, 301",-22.5650934,-47.3985764,2.657278214505078
31,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
32,Supermercado Covabra,-22.569306949999998,-47.39910528406256,2.7068160034620576
33,Paraíso Dos Animais,-22.57063507415941,-47.39858487448864,2.805203009567229
34,"Rua João Guilherme, 57",-22.5699327,-47.3991685,2.722510659704878
35,"Rua Professora Ceci Barbosa Neves Estéfano, 324-398",-22.5741447,-47.3953501,3.2612231778858933
36,"Rua João Bueno Filho, 2-40",-22.5785563,-47.3941867,3.595063457528863
37,"Rua João Bueno Filho, 272-340",-22.5785563,-47.3941867,3.595063457528863
38,"Rua Fausto De Barros Camargo, 1078",-22.5803231,-47.3921183,3.878496838999004
39,"Rua Manoel De Abreu, 12-16",-22.5820723,-47.3899188,4.173024791758856
40,"Rua José Bianchi, 151",-22.5840494,-47.3890781,4.36550484472293
41,"Avenida Campinas, 1910-1926",-22.5714202,-47.3966768,3.0194210883612667
42,"Rua Professora Aurora A. F. M. Bucci, 2-62",-22.5904895,-47.3793991,5.589647149932417
43,"Rua Mario Ferraz, 202-362",-22.5904454,-47.3770036,5.791633008096853
44,"Rua Olívia P. B Pinho, 104",-22.589627980897358,-47.37226183781522,6.160222129312942
45,"Rua Olívia P. B Pinho, 190-288",-22.589164199194943,-47.37203482476265,6.155106331169972
46,"Avenida Marechal Artur Da Costa E Silva, 1225",-22.586892569087905,-47.37629728411523,5.649754499368354
47,"Avenida Marechal Artur Da Costa E Silva, 889-933",-22.585533586099142,-47.379290765962544,5.307712077504755
48,"Rua Silvino Ferreira De Castro, 292",-22.5855011,-47.3795142,5.285957634768946
49,"Rua Ademar Marcolino, 111-205",-22.5851938,-47.377067,5.4899971328576775
50,"Rua Natal Paulo Gulo, 516",-22.5839709,-47.3767218,5.45937308182941
51,"Rua Brasílio Mengato Lana, 20",-22.5871808,-47.3712714,6.120061315576297
52,"Rua Brasílio Mengato Lana, 282",-22.5871808,-47.3712714,6.120061315576297
53,"Rua Pércio Machado Gomes, 362",-22.5866227,-47.3711119,6.1066845288208444
