num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Shopping Center Limeira - Atacadão B/C,-22.533111140137375,-47.38589692123141,5.065452552478881
2,"Avenida Ambrósio Fumagali, 1535",-22.5374279,-47.3839949,4.9416379817917075
3,"Avenida Ambrósio Fumagali, 1343",-22.5374279,-47.3839949,4.9416379817917075
4,"Avenida Laranjeiras, 2077",-22.5373644,-47.3825697,5.068660966685392
5,"Avenida Laranjeiras, 1425",-22.5516684,-47.3929112,3.4093320974136256
6,"Rua Cedro, 17",-22.5487431,-47.3897146,3.8320472112383848
7,"Rua Jatobá, 945",-22.5501361,-47.3946521,3.3040280194136065
8,"Rua Jatobá, 357-437",-22.5501361,-47.3946521,3.3040280194136065
9,"Avenida Souza Queiroz, 435",-22.5546261,-47.3995137,2.6613246962827226
10,"Avenida São Sebastião, 192-194",-22.5614794,-47.3969189,2.804258179985564
11,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
12,Museu Major José Levy Sobrinho,-22.565439554677592,-47.40223138902325,2.291570626724112
13,"Rua Tiradentes, 1024",-22.5651746,-47.4009767,2.4141947224607097
14,"Rua Tiradentes, 1234",-22.5651746,-47.4009767,2.4141947224607097
15,Praça A. Mesquita,-23.540662,-46.642534,134.78176482192754
16,"Avenida Doutor Lauro Corrêa Da Silva, 2032-2100",-22.5773004,-47.4082025,2.369628947567649
17,"Rua Baía, 278-364",-22.579095154169337,-47.40571906043639,2.6903303383922754
18,"Rua Baía, 538",-22.5793954797264,-47.403170644416065,2.9033928710530676
19,"Rua Desembargador Júlio César Da Silveira, 1072",-22.5812099,-47.403055,3.0497274299743724
20,"Rua Desembargador Júlio César Da Silveira, 1244",-22.5812099,-47.403055,3.0497274299743724
21,"Rua Doutor Francisco Ferreira Da Rosa, 1345-1435",-22.5712273,-47.40346,2.368999252799456
22,"Rua Doutor Wiliam Silva, 272-338",-22.587341911402365,-47.405741895265045,3.397647369183976
23,"Rua Joaquim Pompéu, 485",-22.58979820938725,-47.406394650217855,3.591873310029326
24,"Rua Doutor Messías Teixeira De Camargo, 281",-22.5932364,-47.4056356,3.96131419573705
25,"Rua Josino Alvarenga Guimarães, 329-403",-22.5870213,-47.4037227,3.4893776310870894
26,"Avenida Vítor Baloni, 215-265",-22.5889328,-47.4009087,3.834119511626801
27,"Rua Luís Pântano, 300",-22.5932864,-47.3985738,4.362105275428121
28,"Rua Luís Pântano, 506",-22.5932864,-47.3985738,4.362105275428121
29,"Rua Luís Pântano, 656-700",-22.5877395,-47.3997839,3.8070208834899386
30,"Rua Luís Pântano, 1014",-22.5932864,-47.3985738,4.362105275428121
31,"Rua Professor Arlíndo Silvestre, 586",-22.6003471,-47.4002323,4.920152324394054
32,"Rua Vanderlei Carlos Candioto, 506-568",-22.6016914,-47.4004708,5.03765432270308
33,"Rua João Chanchetti, 1107",-22.6006996,-47.3979286,5.075917862717305
34,"Rua Rosália Schimidt De Camargo Aranha, 316-376",-22.5960206,-47.3874151,5.346584096287109
35,"Rua Rosália Schimidt De Camargo Aranha, 369-421",-22.5960206,-47.3874151,5.346584096287109
36,Ponto Campo Verde,-22.603162776273155,-47.38954455465586,5.7950545648358025
