num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Cerâmica Unigrês,-22.603361493647267,-47.488482889747736,8.05127391731904
2,"Rodovia Limeira-Piracicaba, 1-269",-22.5720496,-47.4451813,2.435632462308019
3,"Rua Farmaceutico Jacob Fanelli, 426-478",-22.5621516,-47.4143673,1.0097586897407114
4,Rua Prefeito Doutor Alberto Ferreira,-22.5701942,-47.4108347,1.652599730514214
5,"Rua Prefeito Doutor Alberto Ferreira, 434",-22.5701942,-47.4108347,1.652599730514214
6,Rua Carlos Gomes 1321-1385,-22.5670351,-47.4044543,2.1075279136171754
7,"Rua Carlos Gomes, 989",-22.5670351,-47.4044543,2.1075279136171754
8,Museu Major José Levy Sobrinho B/C (Rapidão),-22.565482060847764,-47.40206587155135,2.309149903218527
9,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
