num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
2,Catedral N.Sr. Das Dores (Rapidão),-22.56157386008471,-47.402000260308085,2.281537187646309
3,"Rua Presidente Roosevelt, 193-281",-22.5623853,-47.4046837,2.006051512660801
4,"Avenida Laranjeiras, 156",-22.5382441,-47.3829617,4.982787513291094
5,"Avenida Laranjeiras, 518",-22.5382441,-47.3829617,4.982787513291094
6,"Avenida Laranjeiras, 878",-22.5382441,-47.3829617,4.982787513291094
7,"Avenida Laranjeiras, 1392-1468",-22.5373644,-47.3825697,5.068660966685392
8,"Rua Renato Pereira Guimarães, 428",-22.5467075,-47.3893181,3.9601027101500437
9,"Rua Doutor José Carvalho Ferreira, 688-786",-22.5466912,-47.3940576,3.525625214570164
10,"Rua Arariba, 965",-22.5472796,-47.388634,3.997876519061297
11,"Rua João Dierberger, 1080",-22.5402049,-47.3880998,4.419977097205517
12,Shopping Center Limeira - Atacadão C/B,-22.533111140137375,-47.38589692123141,5.065452552478881
13,Unip - Universidade Paulista,-22.544298393958066,-47.3776863664987,5.163540646026661
